fecha,n.obs,vel.max,vel.media,dir
2013-06-30 10:50:00,612,45.6,27.7,NW
2013-07-07 10:50:00,608,33.3,19.1,NW
2013-08-08 10:50:00,514,NA,30.5,NW
2013-08-17 10:50:00,508,NA,33.7,NW
2013-09-25 10:50:00,567,50.6,3.3,NW
2013-10-20 10:50:00,539,66.2,21.9,NW
2013-11-21 10:50:00,430,93.1,38.4,NA
2013-12-07 10:50:00,584,52.4,24.7,NA
2013-12-23 10:50:00,588,53.5,18.1,NW
2014-04-21 10:50:00,539,26.8,14.4,NW
2014-06-17 10:50:00,454,NA,NA,NA
2014-06-24 10:50:00,394,NA,NA,NA
2014-07-10 10:50:00,654,NA,NA,NA
2014-07-26 10:50:00,568,NA,NA,NA
2014-08-04 10:50:00,641,42.4,32.9,NW
2014-08-20 10:50:00,125,54.4,16.6,NW
2014-08-27 10:50:00,109,16.5,7.4,NW
2014-09-12 10:50:00,72,49.5,17.5,NW
2014-11-15 10:50:00,554,41.3,7.4,NW
2014-11-24 10:50:00,206,45.4,NA,NA
2014-12-01 10:50:00,622,40.5,16.6,NW
